SUBCATEGORIA;DESCR_SUBCAT;DESCRABREV;CATEGORIA;DESCR_CAT;GRUPO;CAPITULO
A052;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii];A05.2 Intox alimentar dev Clostridium perfringens;A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A053;Intoxicação alimentar devida a Vibrio parahemolyticus;A05.3 Intox alimentar dev Vibrio parahemolyticus;A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A054;Intoxicação alimentar devida a Bacillus cereus;A05.4 Intox alimentar dev Bacillus cereus;A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A058;Outras intoxicações alimentares bacterianas especificadas;A05.8 Outr intox alimentares bacter espec;A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A059;Intoxicação alimentar bacteriana não especificada;A05.9 Intox alimentar bacter NE;A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A060;Disenteria amebiana aguda;A06.0 Disenteria amebiana aguda;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A061;Amebíase intestinal crônica;A06.1 Amebiase intestinal cronica;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A062;Colite amebiana não-disentérica;A06.2 Colite amebiana nao-disenterica;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A063;Ameboma intestinal;A06.3 Ameboma intestinal;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A064;Abscesso amebiano do fígado;A06.4 Abscesso amebiano do figado;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A065;Abscesso amebiano do pulmão;A06.5 Abscesso amebiano do pulmao;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A066;Abscesso amebiano do cérebro;A06.6 Abscesso amebiano do cerebro;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A067;Amebíase cutânea;A06.7 Amebiase cutanea;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A068;Infecção amebiana de outras localizações;A06.8 Infecc amebiana de outr localiz;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A069;Amebíase não especificada;A06.9 Amebiase NE;A06;Amebíase;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A070;Balantidíase;A07.0 Balantidiase;A07;Outras doenças intestinais por protozoários;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A071;Giardíase [lamblíase];A07.1 Giardiase;A07;Outras doenças intestinais por protozoários;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A072;Criptosporidiose;A07.2 Criptosporidiose;A07;Outras doenças intestinais por protozoários;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A073;Isosporíase;A07.3 Isosporiase;A07;Outras doenças intestinais por protozoários;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A078;Outras doenças intestinais especificadas por protozoários;A07.8 Outr doenc intestinais espec p/protozoarios;A07;Outras doenças intestinais por protozoários;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A079;Doença intestinal não especificada por protozoários;A07.9 Doenc intestinal NE p/protozoarios;A07;Outras doenças intestinais por protozoários;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A080;Enterite por rotavírus;A08.0 Enterite p/rotavirus;A08;Infecções intestinais virais, outras e as não especificadas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A081;Gastroenteropatia aguda pelo agente de Norwalk;A08.1 Gastroenteropatia aguda p/agente de Norwalk;A08;Infecções intestinais virais, outras e as não especificadas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A082;Enterite por adenovírus;A08.2 Enterite p/adenovirus;A08;Infecções intestinais virais, outras e as não especificadas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A083;Outras enterites virais;A08.3 Outr enterites virais;A08;Infecções intestinais virais, outras e as não especificadas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A084;Infecção intestinal devida a vírus não especificado;A08.4 Infecc intestinal dev virus NE;A08;Infecções intestinais virais, outras e as não especificadas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A085;Outras infecções intestinais especificadas;A08.5 Outr infecc intestinais espec;A08;Infecções intestinais virais, outras e as não especificadas;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A09;Diarréia e gastroenterite de origem infecciosa presumível;A09   Diarreia e gastroenterite orig infecc presum;A09;Diarréia e gastroenterite de origem infecciosa presumível;Doenças infecciosas intestinais;Algumas doenças infecciosas e parasitárias
A150;Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura;A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A151;Tuberculose pulmonar, com confirmação somente por cultura;A15.1 Tuberc pulmonar c/conf somente p/cultura;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A152;Tuberculose pulmonar, com confirmação histológica;A15.2 Tuberc pulmonar c/conf histolog;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A153;Tuberculose pulmonar, com confirmação por meio não especificado;A15.3 Tuberc pulmonar c/conf p/meio NE;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A154;Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica;A15.4 Tuberc gangl intrator c/conf bacter e histol;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A155;Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica;A15.5 Tuberc laring traq bronq c/conf bact e hist;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A156;Pleuris tuberculoso, com confirmação bacteriológica e histológica;A15.6 Pleuris tuberc c/conf bacteriol e histolog;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A157;Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica;A15.7 Tuberc prim vias respir c/conf bact e histol;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A158;Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica;A15.8 Outr form tuberc via resp c/conf bact hist;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A159;Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica;A15.9 Tuberc NE vias respir c/conf bacter histol;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A160;Tuberculose pulmonar com exames bacteriológico e histológico negativos;A16.0 Tuberc pulmonar c/exames bact e hist negat;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A161;Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico;A16.1 Tuberc pulmonar s/exame bacter ou histolog;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A162;Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica;A16.2 Tuberc pulmonar s/menc conf bact ou hist;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A163;Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica;A16.3 Tuberc gangl intrat s/menc conf bact hist;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A164;Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica;A16.4 Tuberc laring traq bronq s/menc bact hist;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A165;Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica;A16.5 Pleurisia tuberc s/menc conf bact ou histol;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A167;Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica;A16.7 Tuberc respir prim s/menc conf bact ou hist;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A168;Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica;A16.8 Outr tuber via resp s/menc conf bact hist;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A169;Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica;A16.9 Tuberc respirat NE s/menc conf bact ou hist;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica;Tuberculose;Algumas doenças infecciosas e parasitárias
A170;Meningite tuberculosa;A17.0 Meningite tuberc;A17;Tuberculose do sistema nervoso;Tuberculose;Algumas doenças infecciosas e parasitárias
A171;Tuberculoma meníngeo;A17.1 Tuberculoma meningeo;A17;Tuberculose do sistema nervoso;Tuberculose;Algumas doenças infecciosas e parasitárias
A178;Outras tuberculoses do sistema nervoso;A17.8 Outr tuberc do sist nervoso;A17;Tuberculose do sistema nervoso;Tuberculose;Algumas doenças infecciosas e parasitárias
A179;Tuberculose não especificada do sistema nervoso;A17.9 Tuberc NE do sist nervoso;A17;Tuberculose do sistema nervoso;Tuberculose;Algumas doenças infecciosas e parasitárias
A180;Tuberculose óssea e das articulações;A18.0 Tuberc ossea e das articulacoes;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A181;Tuberculose do aparelho geniturinário;A18.1 Tuberc do aparelho geniturinario;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A182;Linfadenopatia tuberculosa periférica;A18.2 Linfadenopatia tuberc periferica;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A183;Tuberculose do intestino, do peritônio e dos gânglios mesentéricos;A18.3 Tuberc intestino peritonio gangl mesenter;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A184;Tuberculose de pele e do tecido celular subcutâneo;A18.4 Tuberc de pele e tec celular subcutaneo;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A185;Tuberculose do olho;A18.5 Tuberc do olho;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A186;Tuberculose do ouvido;A18.6 Tuberc do ouvido;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A187;Tuberculose das supra-renais;A18.7 Tuberc das supra-renais;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A188;Tuberculose de outros órgãos especificados;A18.8 Tuberc de outr orgaos espec;A18;Tuberculose de outros órgãos;Tuberculose;Algumas doenças infecciosas e parasitárias
A190;Tuberculose miliar aguda de localização única e especificada;A19.0 Tuberc miliar aguda de localiz unica espec;A19;Tuberculose miliar;Tuberculose;Algumas doenças infecciosas e parasitárias
A191;Tuberculose miliar aguda de múltiplas localizações;A19.1 Tuberc miliar aguda de mult localiz;A19;Tuberculose miliar;Tuberculose;Algumas doenças infecciosas e parasitárias
A192;Tuberculose miliar aguda não especificada;A19.2 Tuberc miliar aguda NE;A19;Tuberculose miliar;Tuberculose;Algumas doenças infecciosas e parasitárias
A198;Outras tuberculoses miliares;A19.8 Outr tuberc miliares;A19;Tuberculose miliar;Tuberculose;Algumas doenças infecciosas e parasitárias
A199;Tuberculose miliar não especificada;A19.9 Tuberc miliar NE;A19;Tuberculose miliar;Tuberculose;Algumas doenças infecciosas e parasitárias
A200;Peste bubônica;A20.0 Peste bubonica;A20;Peste;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A201;Peste celulocutânea;A20.1 Peste celulocutanea;A20;Peste;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A202;Peste pneumônica;A20.2 Peste pneumonica;A20;Peste;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A203;Peste meníngea;A20.3 Peste meningea;A20;Peste;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A207;Peste septicêmica;A20.7 Peste septicemica;A20;Peste;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A208;Outras formas de peste;A20.8 Outr form de peste;A20;Peste;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A209;Peste, forma não especificada;A20.9 Peste form NE;A20;Peste;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A210;Tularemia ulceroglandular;A21.0 Tularemia ulceroglandular;A21;Tularemia;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A211;Tularemia oculoglandular;A21.1 Tularemia oculoglandular;A21;Tularemia;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A212;Tularemia pulmonar;A21.2 Tularemia pulmonar;A21;Tularemia;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A213;Tularemia gastrointestinal;A21.3 Tularemia gastrointestinal;A21;Tularemia;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A217;Tularemia generalizada;A21.7 Tularemia generalizada;A21;Tularemia;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A218;Outras formas de tularemia;A21.8 Outr form de tularemia;A21;Tularemia;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A219;Tularemia, forma não especificada;A21.9 Tularemia form NE;A21;Tularemia;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A220;Carbúnculo cutâneo;A22.0 Carbunculo cutaneo;A22;Carbúnculo;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A221;Carbúnculo pulmonar;A22.1 Carbunculo pulmonar;A22;Carbúnculo;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A222;Carbúnculo gastrointestinal;A22.2 Carbunculo gastrointestinal;A22;Carbúnculo;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A227;Septicemia carbunculosa;A22.7 Septicemia carbunculosa;A22;Carbúnculo;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A228;Outras formas de carbúnculo;A22.8 Outr form de carbunculo;A22;Carbúnculo;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A229;Carbúnculo, forma não especificada;A22.9 Carbunculo form NE;A22;Carbúnculo;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A230;Brucelose por Brucella melitensis;A23.0 Brucelose p/Brucella melitensis;A23;Brucelose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A231;Brucelose por Brucella abortus;A23.1 Brucelose p/Brucella abortus;A23;Brucelose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A232;Brucelose por Brucella suis;A23.2 Brucelose p/Brucella suis;A23;Brucelose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A233;Brucelose por Brucella canis;A23.3 Brucelose p/Brucella canis;A23;Brucelose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A238;Outras bruceloses;A23.8 Outr bruceloses;A23;Brucelose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A239;Brucelose não especificada;A23.9 Brucelose NE;A23;Brucelose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A240;Mormo;A24.0 Mormo;A24;Mormo e melioidose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A241;Melioidose aguda e fulminante;A24.1 Melioidose aguda e fulminante;A24;Mormo e melioidose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A242;Melioidose subaguda e crônica;A24.2 Melioidose subaguda e cronica;A24;Mormo e melioidose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A243;Outras melioidoses;A24.3 Outr melioidoses;A24;Mormo e melioidose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A244;Melioidose não especificada;A24.4 Melioidose NE;A24;Mormo e melioidose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A250;Espirilose;A25.0 Espirilose;A25;Febres transmitidas por mordedura de rato;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A251;Estreptobacilose;A25.1 Estreptobacilose;A25;Febres transmitidas por mordedura de rato;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A259;Febre transmitida por mordedura de rato, tipo não especificado;A25.9 Febre transm p/mordedura de rato tipo NE;A25;Febres transmitidas por mordedura de rato;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A260;Erisipelóide cutâneo;A26.0 Erisipeloide cutaneo;A26;Erisipelóide;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A267;Septicemia por Erysipelothrix;A26.7 Septicemia p/Erysipelothrix;A26;Erisipelóide;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A268;Outras formas de erisipelóide;A26.8 Outr form de erisipeloide;A26;Erisipelóide;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A269;Erisipelóide não especificado;A26.9 Erisipeloide NE;A26;Erisipelóide;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A270;Leptopirose icterohemorrágica;A27.0 Leptopirose icterohemorragica;A27;Leptospirose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A278;Outras formas de leptospirose;A27.8 Outr form de leptospirose;A27;Leptospirose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A279;Leptospirose não especificada;A27.9 Leptospirose NE;A27;Leptospirose;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A280;Pasteurelose;A28.0 Pasteurelose;A28;Outras doenças bacterianas zoonóticas não classificadas em outra parte;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A281;Doença por arranhadura do gato;A28.1 Doenc p/arranhadura do gato;A28;Outras doenças bacterianas zoonóticas não classificadas em outra parte;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A282;Yersiniose extra-intestinal;A28.2 Yersiniose extra-intestinal;A28;Outras doenças bacterianas zoonóticas não classificadas em outra parte;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A288;Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte;A28.8 Outr doenc bacter zoonoticas espec NCOP;A28;Outras doenças bacterianas zoonóticas não classificadas em outra parte;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A289;Doença bacteriana zoonótica não especificada;A28.9 Doenc bacter zoonotica NE;A28;Outras doenças bacterianas zoonóticas não classificadas em outra parte;Algumas doenças bacterianas zoonóticas;Algumas doenças infecciosas e parasitárias
A300;Hanseníase [lepra] indeterminada;A30.0 Hanseniase indeterminada;A30;Hanseníase [doença de Hansen] [lepra];Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A301;Hanseníase [lepra] tuberculóide;A30.1 Hanseniase tuberculoide;A30;Hanseníase [doença de Hansen] [lepra];Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A302;Hanseníase [lepra] tuberculóide borderline;A30.2 Hanseniase tuberculoide borderline;A30;Hanseníase [doença de Hansen] [lepra];Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A303;Hanseníase [lepra] dimorfa;A30.3 Hanseniase dimorfa;A30;Hanseníase [doença de Hansen] [lepra];Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A304;Hanseníase [lepra] lepromatosa borderline;A30.4 Hanseniase lepromatosa borderline;A30;Hanseníase [doença de Hansen] [lepra];Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A305;Hanseníase [lepra] lepromatosa;A30.5 Hanseniase lepromatosa;A30;Hanseníase [doença de Hansen] [lepra];Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A308;Outras formas de hanseníase [lepra];A30.8 Outr form de hanseniase;A30;Hanseníase [doença de Hansen] [lepra];Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A309;Hanseníase [lepra] não especificada;A30.9 Hanseniase NE;A30;Hanseníase [doença de Hansen] [lepra];Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A310;Infecção pulmonar micobacteriana;A31.0 Infecc pulmonar micobacteriana;A31;Infecções devidas a outras micobactérias;Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A311;Infecção cutânea micobacteriana;A31.1 Infecc cutanea micobacteriana;A31;Infecções devidas a outras micobactérias;Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
A318;Outras infecções micobacterianas;A31.8 Outr infecc micobacterianas;A31;Infecções devidas a outras micobactérias;Outras doenças bacterianas;Algumas doenças infecciosas e parasitárias
